Date,Close
2023-01-01,136.2810469193533
2023-01-02,148.550626046269
2023-01-03,179.11456036156585
2023-01-04,261.1810260036199
2023-01-05,361.34697866138146
2023-01-06,294.3331666068069
2023-01-07,353.20500477022637
2023-01-08,346.04503012216935
2023-01-09,342.36180628777555
2023-01-10,373.9000733071885
2023-01-11,388.41065440355663
2023-01-12,505.2658258518411
2023-01-13,587.22375505052
2023-01-14,607.3860846171757
2023-01-15,667.3792156719007
2023-01-16,718.5904700071972
2023-01-17,940.5025713889175
2023-01-18,911.3172221801224
2023-01-19,977.4911920464865
2023-01-20,820.2918915005778
2023-01-21,409.655441413134
2023-01-22,467.3036786734561
2023-01-23,552.7675586012999
2023-01-24,476.24628490544234
2023-01-25,697.2011892187062
2023-01-26,501.37610553306837
2023-01-27,510.9783120283124
2023-01-28,496.9587176035633
2023-01-29,654.2739033269942
2023-01-30,853.0892619143461
2023-01-31,888.0569515381517
2023-02-01,964.1034919223116
2023-02-02,802.5610589677244
2023-02-03,492.64464732993696
2023-02-04,463.2916821819197
2023-02-05,482.41163438445733
2023-02-06,605.9370583398671
2023-02-07,757.7097306391778
2023-02-08,706.5905682480676
2023-02-09,670.9356194681523
2023-02-10,536.9426690303424
2023-02-11,389.8184514686777
2023-02-12,260.6895152840429
2023-02-13,365.00574887908584
2023-02-14,331.45061111425224
2023-02-15,305.72511822889936
2023-02-16,232.18016749761227
2023-02-17,270.6055373815546
2023-02-18,185.96565389189942
2023-02-19,179.91283336699112
2023-02-20,149.49077645871097
2023-02-21,162.55335518705724
2023-02-22,147.57227094720648
2023-02-23,114.20227914381758
2023-02-24,114.70060699373059
2023-02-25,125.67359817258767
2023-02-26,128.60222588978135
2023-02-27,137.6679600123676
2023-02-28,121.57947388692483
2023-03-01,113.97489260222488
2023-03-02,99.78592006534552
2023-03-03,93.60811065865364
2023-03-04,79.32077433498218
2023-03-05,52.72796753074065
2023-03-06,55.126311179620146
2023-03-07,51.24783410832519
